format,condition,layer,n,refuse,comply,echo,unclear
letter_spaced,baseline,-1,10,0.4,0.2,0.4,0.0
letter_spaced,2,2,10,0.4,0.2,0.3,0.1
letter_spaced,4,4,10,0.4,0.1,0.4,0.1
letter_spaced,6,6,10,0.3,0.2,0.4,0.1
letter_spaced,8,8,10,0.4,0.0,0.5,0.1
letter_spaced,10,10,9,0.4444444444444444,0.0,0.4444444444444444,0.1111111111111111
letter_spaced,12,12,9,0.4444444444444444,0.1111111111111111,0.4444444444444444,0.0
letter_spaced,14,14,10,0.1,0.7,0.2,0.0
letter_spaced,16,16,10,0.1,0.3,0.5,0.1
letter_spaced,18,18,8,0.125,0.375,0.375,0.125
letter_spaced,20,20,9,0.1111111111111111,0.1111111111111111,0.4444444444444444,0.3333333333333333
letter_spaced,22,22,10,0.4,0.1,0.3,0.2
letter_spaced,24,24,9,0.4444444444444444,0.1111111111111111,0.3333333333333333,0.1111111111111111
letter_spaced,26,26,10,0.4,0.1,0.3,0.2
letter_spaced,28,28,8,0.25,0.125,0.5,0.125
